Gender,Activity,Age,1997,1998,2003,2004,2006,2008,2012
M,Meets,16-24,49,53,52,56,53,81,83
M,Meets,25-34,41,45,44,46,52,78,76
M,Meets,35-44,37,41,41,41,46,71,71
M,Meets,45-54,32,34,38,37,38,69,70
M,Meets,55-64,23,30,32,32,35,57,55
M,Meets,65-74,12,14,17,18,21,46,51
M,Meets,75+,7,6,8,8,9,25,30
M,Meets,All,32,34,36,37,40,66,66
M,Some,16-24,33,30,29,29,28,7,6
M,Some,25-34,38,31,36,30,29,9,9
M,Some,35-44,35,30,35,37,30,10,10
M,Some,45-54,33,32,31,33,34,10,9
M,Some,55-64,29,25,29,29,29,12,14
M,Some,65-74,34,32,32,28,33,13,10
M,Some,75+,19,22,20,19,23,12,10
M,Some,All,33,30,31,31,30,10,10
M,Low,16-24,17,18,18,15,19,12,10
M,Low,25-34,20,24,20,24,19,13,14
M,Low,35-44,28,29,24,22,24,19,18
M,Low,45-54,35,34,32,30,28,21,20
M,Low,55-64,47,45,39,39,37,31,31
M,Low,65-74,54,54,52,54,46,41,39
M,Low,75+,74,73,72,73,68,63,60
M,Low,All,35,36,32,32,30,24,24
M,Bases,16-24,490,872,1044,485,1040,1129,597
M,Bases,25-34,738,1335,1272,556,1127,1207,688
M,Bases,35-44,735,1303,1412,647,1354,1404,713
M,Bases,45-54,691,1287,1180,530,1122,1203,711
M,Bases,55-64,533,987,1037,477,1012,1083,590
M,Bases,65-74,453,836,731,329,694,720,421
M,Bases,75+,242,562,501,231,496,538,303
M,Bases,All,3882,7182,7177,3256,6845,7284,4024
W,Meets,16-24,26,28,30,32,33,61,57
W,Meets,25-34,26,28,29,30,36,64,61
W,Meets,35-44,29,28,30,32,35,63,66
W,Meets,45-54,24,25,31,30,34,59,62
W,Meets,55-64,19,18,23,20,27,53,55
W,Meets,65-74,8,9,13,14,16,37,42
W,Meets,75+,5,3,3,4,4,14,13
W,Meets,All,21,21,24,25,28,53,54
W,Some,16-24,41,37,39,38,36,14,15
W,Some,25-34,46,43,45,43,36,15,13
W,Some,35-44,42,41,42,43,40,14,13
W,Some,45-54,40,39,34,36,35,14,13
W,Some,55-64,36,39,36,40,36,14,12
W,Some,65-74,34,29,31,29,30,16,17
W,Some,75+,14,14,14,14,15,10,8
W,Some,All,38,36,36,36,34,14,13
W,Low,16-24,32,35,31,30,32,25,28
W,Low,25-34,28,29,27,27,27,20,26
W,Low,35-44,29,31,28,25,25,23,21
W,Low,45-54,36,36,35,34,31,27,25
W,Low,55-64,45,44,41,40,38,33,33
W,Low,65-74,58,62,56,57,54,48,40
W,Low,75+,81,83,82,81,81,76,79
W,Low,All,41,42,40,39,38,33,33
W,Bases,16-24,557,1006,1029,472,1011,1088,593
W,Bases,25-34,916,1628,1279,563,1157,1206,695
W,Bases,35-44,831,1570,1437,653,1375,1424,724
W,Bases,45-54,804,1482,1199,541,1141,1226,713
W,Bases,55-64,584,1148,1071,491,1050,1118,605
W,Bases,65-74,543,966,813,364,768,795,458
W,Bases,75+,436,905,782,353,798,781,421
W,Bases,All,4671,8705,7611,3436,7300,7638,4210
A,Meets,16-24,37,40,41,44,43,71,70
A,Meets,25-34,33,36,36,38,44,71,69
A,Meets,35-44,33,34,36,37,40,67,69
A,Meets,45-54,28,29,34,33,36,64,66
A,Meets,55-64,21,23,28,26,31,55,55
A,Meets,65-74,10,11,15,16,19,41,47
A,Meets,75+,6,4,5,6,6,19,20
A,Meets,All,26,27,30,31,34,59,60
A,Some,16-24,38,33,34,34,32,10,10
A,Some,25-34,43,38,40,36,33,12,11
A,Some,35-44,39,36,38,40,35,12,12
A,Some,45-54,36,36,33,35,35,12,11
A,Some,55-64,33,32,32,35,32,13,13
A,Some,65-74,34,30,31,28,31,14,14
A,Some,75+,16,17,16,16,18,11,9
A,Some,All,36,33,34,34,32,12,11
A,Low,16-24,25,27,25,22,25,19,19
A,Low,25-34,24,27,23,26,23,16,20
A,Low,35-44,29,30,26,24,25,21,20
A,Low,45-54,36,35,33,32,29,24,23
A,Low,55-64,46,44,40,39,37,32,32
A,Low,65-74,56,58,54,55,50,44,39
A,Low,75+,78,79,78,78,76,70,71
A,Low,All,38,40,36,35,34,29,29
A,Bases,16-24,1047,1878,2074,957,2050,2217,1190
A,Bases,25-34,1654,2963,2551,1119,2284,2413,1384
A,Bases,35-44,1566,2873,2849,1300,2729,2829,1437
A,Bases,45-54,1495,2769,2380,1071,2262,2429,1424
A,Bases,55-64,1117,2135,2108,969,2062,2201,1195
A,Bases,65-74,996,1802,1543,693,1463,1514,880
A,Bases,75+,678,1467,1283,584,1294,1320,724
A,Bases,All,8553,15887,14789,6692,14145,14922,8234
